ID,TIPO,NOME,API00,API99,META,EDU,TEST_INSC,TEST_NUM,REFS,NPI
1611190130229,Superior,Alameda High,731,693,5,3.45000004768372,1278,1090,14,16
1611190132878,Superior,Encinal High,622,589,11,3.05999994277954,1113,840,20,18
1611196000004,Medio,Chipman Middle,622,572,11,2.8199999332428,546,472,55,25
1611196090005,Fundamental,Lum (Donald D.),774,732,3,3.3199999332428,330,272,35,26
1611196090013,Fundamental,Edison Elementa,811,784,1,3.75999999046326,233,216,15,9
1611196090021,Fundamental,Otis (Frank) El,780,725,4,3.44000005722046,276,247,25,18
1611196090039,Fundamental,Franklin Elemen,808,765,2,3.23000001907349,180,167,22,9
1611196090047,Fundamental,Haight Elementa,739,667,7,2.75,363,292,50,35
1611196090054,Medio,Lincoln Middle,795,792,1,3.74000000953674,850,782,10,10
1611196090062,Fundamental,Longfellow Elem,650,580,11,2.66000008583069,263,219,71,41
1611196090104,Fundamental,Washington Elem,668,621,9,2.92000007629395,369,330,48,21
1611196090112,Medio,Wood (Will C.) ,701,651,7,3.32999992370605,792,646,32,22
1611196090120,Fundamental,Paden (William ,791,721,4,3.63000011444092,279,272,23,14
1611196090138,Fundamental,Woodstock Eleme,651,572,11,2.65000009536743,205,154,76,26
1611270130450,Superior,Albany High,789,773,1,3.94000005722046,634,515,9,7
1611430131177,Superior,Berkeley High,716,728,4,3.82999992370605,2370,1567,3,8
1611436056857,Medio,King Middle,762,731,3,3.85999989509583,873,708,28,11
1611436056865,Medio,Willard Middle,690,662,7,3.65000009536743,713,538,31,11
1611436090187,Fundamental,Parks (Rosa) En,614,522,14,3.16000008583069,222,206,99,36
1611436090195,Fundamental,Cragmont Elemen,731,607,10,3.66000008583069,218,171,45,6
1611436090211,Fundamental,Emerson Element,767,706,5,3.61999988555908,185,172,45,11
1611436090252,Fundamental,Jefferson Eleme,779,741,3,4.07000017166138,199,182,32,8
1611436090278,Fundamental,Leconte Element,683,644,8,3.38000011444092,241,203,53,7
1611436090286,Fundamental,Malcolm X Eleme,688,622,9,3.28999996185303,268,212,56,11
1611436090302,Fundamental,Oxford Elementa,752,731,3,4.0,178,147,38,6
1611436090310,Fundamental,Thousand Oaks E,626,586,11,2.78999996185303,215,181,62,39
1611436090328,Fundamental,Washington Elem,689,674,6,3.3199999332428,298,267,59,13
1611436097729,Fundamental,Whittier/Arts (,731,689,6,3.52999997138977,313,290,42,4
1611436105316,Fundamental,Muir (John) Ele,687,620,9,2.88000011444092,169,137,61,12
1611500132225,Superior,Castro Valley H,741,723,4,3.64000010490417,1693,1495,8,4
1611506090351,Fundamental,Castro Valley E,760,688,6,2.94000005722046,252,192,35,16
1611506090369,Fundamental,Chabot Elementa,831,792,1,3.5,333,292,8,5
1611506090385,Medio,Creekside Middl,785,772,1,3.63000011444092,765,709,8,3
1611506090401,Fundamental,Marshall Elemen,782,722,4,3.14000010490417,220,181,25,7
1611506090468,Fundamental,Stanton Element,813,762,2,2.32999992370605,296,236,25,8
1611506090484,Fundamental,Vannoy Elementa,861,788,1,3.75999999046326,291,231,5,2
